TaskTime,BoxRotation,RotationError,BoxPosX,BoxPosY,BoxPosZ,BoxAngVelX,BoxAngVelY,BoxAngVelZ,Robot1PosX,Robot1PosY,Robot1PosZ,Robot2PosX,Robot2PosY,Robot2PosZ,Robot1Speed,Robot2Speed,RobotDistanceDiff,HapticPosX,HapticPosY,HapticPosZ,HapticForceX,HapticForceY,HapticForceZ,ForceMagnitude,IsInContact,ContactType,ContactDuration,Phase,CumulativeError,StabilityMetric
27.38666,1.392861,1.392861,0.3016387,0.1023856,3.797452,0.004613526,0.009144573,0.006003052,0.7895961,0.005550906,3.488227,-0.2824661,0.00537803,3.51482,0.1199413,0.1296977,1.072392,0.2957654,0.1023117,3.773943,0,0,0,0,0,,0,initialization,2.002059,0.003869058
27.41204,1.414083,1.414083,0.3025112,0.1023636,3.800339,0.03743191,0.01098979,0.003358484,0.7897769,0.005404674,3.49068,-0.2821146,0.00538981,3.517452,0.1257906,0.1363518,1.072226,0.2965122,0.1023269,3.776863,0,0,0,0,0,,0,initialization,2.001523,0.003928008
27.43697,1.442871,1.442871,0.3040846,0.1020463,3.805904,0.05515039,0.007030744,0.001320226,0.7901929,0.004784279,3.496513,-0.2813462,0.005236678,3.522944,0.1374308,0.1382297,1.071865,0.2972696,0.1023377,3.779825,0,0,0,0,0,,0,initialization,2.001014,0.004007976
27.4617,1.437524,1.437524,0.3043961,0.1022078,3.808131,0.03202973,0.007316913,0.00526157,0.7903399,0.004668899,3.498827,-0.2809589,0.005329542,3.525559,0.1201082,0.1305097,1.071633,0.2980281,0.1023369,3.782774,0,0,0,0,0,,0,initialization,2.000502,0.003993122
27.48672,1.457348,1.457348,0.3050413,0.1022108,3.810648,0.006765148,0.01148096,0.002883826,0.7904713,0.004586607,3.501121,-0.2805622,0.005380474,3.5282,0.1137621,0.132452,1.071376,0.2988174,0.1023263,3.78585,0,0,0,0,0,,0,initialization,2.000008,0.004048189
27.51199,1.496367,1.496367,0.3056017,0.1020711,3.813011,0.07228007,0.01778898,0.00151699,0.7906163,0.00460086,3.503422,-0.2801578,0.00539615,3.530871,0.107829,0.1378016,1.071126,0.2995845,0.1023127,3.788868,0,0,0,0,0,,0,initialization,1.99955,0.004156574
27.53698,1.575648,1.575648,0.3065753,0.1025173,3.817402,0.0004245602,0.02032011,0.003495704,0.7908548,0.005114593,3.506684,-0.2793635,0.005227678,3.536172,0.09227784,0.1268265,1.070624,0.3003398,0.1022959,3.791869,0,0,0,0,0,,0,initialization,1.999166,0.004376799
27.56218,1.595282,1.595282,0.307295,0.1025571,3.8197,0.006941811,0.01645408,0.003053011,0.7909803,0.00532452,3.508354,-0.2789705,0.005331479,3.538734,0.0951677,0.1289077,1.070382,0.3010963,0.1022911,3.794914,0,0,0,0,0,,0,initialization,1.998799,0.00443134
27.58688,1.626271,1.626271,0.3078327,0.1026827,3.821803,0.04564564,0.01569609,0.0029837,0.7911226,0.005472071,3.510285,-0.2785893,0.00534445,3.541231,0.1005756,0.1299782,1.070159,0.301853,0.1023009,3.797965,0,0,0,0,0,,0,initialization,1.998462,0.004517419
27.61226,1.647084,1.647084,0.3085839,0.1027355,3.824241,0.04592802,0.01739454,0.003010184,0.7912654,0.0055677,3.512206,-0.2781667,0.005299889,3.543918,0.1031918,0.1336736,1.069902,0.3026102,0.1023253,3.800997,0,0,0,0,0,,0,initialization,1.998144,0.004575233
