Timestamp,PosX,PosY,PosZ,RotX,RotY,RotZ,VelX,VelY,VelZ,Speed,AngularSpeed,DistanceFromStart,TotalDistance
7.164,-0.053,0.003,0.307,1.004,326.495,0.209,0.002,-0.001,-0.003,0.004,2.505,0.312,0.320
7.272,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7.272,-0.053,0.003,0.307,0.999,326.407,0.224,0.001,0.000,-0.002,0.002,0.896,0.311,0.320
7.380,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7.380,-0.053,0.003,0.307,1.001,326.407,0.223,0.000,0.000,0.000,0.000,0.023,0.311,0.320
7.480,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7.480,-0.053,0.003,0.307,1.001,326.407,0.223,0.000,0.000,0.000,0.000,0.000,0.311,0.320
7.589,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7.589,-0.053,0.003,0.307,1.001,326.407,0.223,0.000,0.000,0.000,0.000,0.000,0.311,0.320
7.689,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7.689,-0.053,0.003,0.307,1.001,326.407,0.223,0.000,0.000,0.000,0.000,0.000,0.311,0.320
7.789,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7.789,-0.053,0.003,0.307,1.001,326.407,0.223,0.000,0.000,0.000,0.000,0.000,0.311,0.320
7.889,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7.889,-0.053,0.003,0.307,1.001,326.407,0.223,0.000,0.000,0.000,0.000,0.000,0.311,0.320
7.997,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7.997,-0.053,0.003,0.307,1.001,326.407,0.223,0.000,0.000,0.000,0.000,0.000,0.311,0.320
8.097,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
8.097,-0.053,0.003,0.307,1.001,326.407,0.223,0.000,0.000,0.000,0.000,0.000,0.311,0.320
8.205,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
8.205,-0.053,0.003,0.307,1.001,326.407,0.223,0.000,0.000,0.000,0.000,0.000,0.311,0.320
8.305,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
8.305,-0.053,0.003,0.307,1.001,326.407,0.223,0.000,0.000,0.000,0.000,0.000,0.311,0.320
8.414,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
8.414,-0.053,0.003,0.307,1.001,326.407,0.223,0.000,0.000,0.000,0.000,0.000,0.311,0.320
8.515,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
8.515,-0.053,0.003,0.307,1.001,326.407,0.223,0.000,0.000,0.000,0.000,0.000,0.311,0.320
8.623,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
8.623,-0.053,0.003,0.307,1.001,326.407,0.223,0.000,0.000,0.000,0.000,0.000,0.311,0.320
8.730,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
8.730,-0.053,0.003,0.307,1.001,326.407,0.223,0.000,0.000,0.000,0.000,0.000,0.311,0.320
8.832,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
8.832,-0.053,0.003,0.307,1.001,326.407,0.223,0.000,0.000,0.000,0.000,0.000,0.311,0.320
8.939,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
8.939,-0.053,0.003,0.307,1.001,326.407,0.223,0.000,0.000,0.000,0.000,0.000,0.311,0.320
9.040,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9.040,-0.053,0.003,0.307,1.001,326.407,0.223,0.000,0.000,0.000,0.000,0.000,0.311,0.320
9.148,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9.148,-0.053,0.003,0.307,1.001,326.407,0.223,0.000,0.000,0.000,0.000,0.000,0.311,0.320
